Model,Image Compression,Train Image Size,Test Image Size,Training Accuracy,Test Accuracy,True Negative,False Positive,False Negative,True Positive,Train Time,Test Time
InceptionNet,nearest,224,224,0.9555,0.9535,4914,86,379,4621,8.5625,3781.359375
InceptionNet,box,224,224,0.9555,0.9515,4922,78,407,4593,8.859375,3836.953125
InceptionNet,lanczos,224,224,0.9555,0.9506,4933,67,427,4573,9.234375,3784.546875
InceptionNet,hamming,224,224,0.9555,0.9472,4938,62,466,4534,8.875,3768.53125
InceptionNet,nearest,224,200,0.9555,0.8225,3303,1697,78,4922,8.984375,3280.125
InceptionNet,box,224,200,0.9555,0.8449,3559,1441,110,4890,8.953125,3265.15625
InceptionNet,lanczos,224,200,0.9555,0.8797,3946,1054,149,4851,8.890625,3268.578125
InceptionNet,hamming,224,200,0.9555,0.8683,3827,1173,144,4856,9.46875,3299.765625
InceptionNet,nearest,224,176,0.9555,0.652,1544,3456,24,4976,10.3125,2999.8125
InceptionNet,box,224,176,0.9555,0.7023,2074,2926,51,4949,8.640625,2996.453125
InceptionNet,lanczos,224,176,0.9555,0.7225,2283,2717,58,4942,10.390625,3013.625
InceptionNet,hamming,224,176,0.9555,0.7042,2102,2898,60,4940,9.203125,2998.578125
